Nurse,Patient,Day,Start Time,Duration
0,0,0,-42.369317,30
0,0,2,-261.8928,30
0,0,4,-9534.8359,30
0,2,0,0.0,30
0,2,2,0.0,30
0,2,4,329.64637,30
0,4,0,-91.604701,30
0,4,2,-311.12818,30
0,4,4,-8.5201312,30
0,7,1,0.0,30
0,7,4,-9469.1007,30
0,10,0,-111.24934,30
0,10,2,-61.016125,30
0,10,4,-94.421831,30
0,11,0,-182.29809,30
0,11,2,0.0,30
0,11,4,210.67579,30
0,14,0,-47.117243,30
0,14,2,-145.84472,30
0,14,4,376.76361,30
0,15,0,-393.14455,30
0,15,2,-210.79777,30
0,15,4,135.63137,30
0,16,0,-224.45663,30
0,16,2,-94.964107,30
0,16,4,62.492062,30
0,18,0,-331.31689,30
0,18,2,-117.41688,30
0,18,4,274.64637,30
0,21,0,-277.71604,30
0,21,2,-41.7047,30
0,21,4,422.79483,30
0,22,0,0.0,30
0,22,2,-149.65295,30
0,22,4,-9577.2052,30
0,25,0,-178.33212,30
0,25,2,-210.25402,30
0,25,4,-126.6579,30
0,29,0,-434.84925,30
0,29,2,-351.32622,30
0,29,4,-205.74965,30
1,0,0,9836.9207,30
1,0,2,171.93061,30
1,0,4,320.60136,30
1,1,0,9636.2083,30
1,1,2,75.01111,30
1,1,4,358.67392,30
1,5,0,9888.1339,30
1,5,2,0.0,30
1,5,4,405.07514,30
1,6,0,9753.5541,30
1,6,2,223.02564,30
1,6,4,299.60504,30
1,20,0,9955.1339,30
1,20,2,121.41233,30
1,20,4,405.07514,30
1,24,0,9707.0617,30
1,24,2,9944.0578,30
1,24,4,268.57865,30
1,26,0,9799.7096,30
1,26,2,269.18113,30
1,26,4,357.81246,30
1,28,0,10000.0,30
1,28,2,10000.0,30
1,28,4,212.6364,30
1,29,0,9586.9729,30
1,29,2,9882.1673,30
1,29,4,241.16211,30
2,3,1,381.97,30
2,3,4,23.918981,30
2,8,1,42.147348,30
2,8,4,-35.491902,30
2,9,1,209.13978,30
2,9,4,317.56378,30
2,12,1,-19.868273,30
2,12,4,412.05621,30
2,13,1,101.57523,30
2,13,4,184.98855,30
2,17,1,332.94371,30
2,17,4,254.54864,30
2,19,1,424.77625,30
2,19,4,66.725229,30
2,23,1,257.13978,30
2,23,4,365.56378,30
2,27,1,167.47787,30
2,27,4,119.08591,30
