Nurse,Patient,Day,Start Time,Duration
0,6,0,89.0,30
0,6,2,116.63014581273382,30
0,6,4,124.02622386710443,30
0,7,1,2.0,30
0,7,4,2.0,30
0,14,0,177.0,30
0,14,2,177.0,30
0,14,4,177.0,30
0,21,0,30.0,30
0,21,2,30.0,30
0,21,4,52.39607805437117,30
0,28,0,129.63014581273455,30
0,28,2,76.0,30
0,28,4,83.3960780543705,30
1,2,0,47.9366765547652,30
1,2,2,44.44030650891045,30
1,2,4,47.9366765547652,30
1,10,0,188.0,30
1,10,2,188.0,30
1,10,4,188.0,30
1,11,0,4.0,30
1,11,2,4.0,30
1,11,4,4.0,30
1,16,0,143.0,30
1,16,2,139.50362995414486,30
1,16,4,143.0,30
1,22,0,100.95840542120777,30
1,22,2,97.46203537535293,30
1,22,4,100.95840542120777,30
2,3,0,169.0,30
2,3,3,169.0,30
2,8,1,13.0,30
2,8,4,13.0,30
2,12,1,75.01562118716424,30
2,12,4,75.01562118716424,30
2,13,0,28.0,30
2,13,3,28.0,30
2,19,0,126.1937515251343,30
2,19,3,126.1937515251343,30
2,23,1,121.50804368963486,30
2,23,4,121.50804368963486,30
2,27,1,168.0,30
2,27,4,168.0,30
